word,pos
cherry red,noun
blot,verb
marking,noun
sound,verb
greenish blue,noun
gold,noun
waft,noun
wine-coloured,noun
blazon,noun
unsightly,adj
niceness,noun
chunking,noun
showy,adj
melanoderma,noun
effect,noun
salmon,noun
colour,verb
fair,adj
mellow,adj
wart,noun
stain,verb
polka dot,noun
draft,noun
sapphire,noun
chromatic colour,noun
purpleness,noun
sallowness,noun
weave,noun
glorious,adj
nevus flammeus,noun
colophon,noun
Bermuda plan,noun
armorial bearing,noun
grey,adj
homely,adj
mark,verb
defect,noun
severity,noun
motley,verb
dapple-grey,noun
damascene,verb
greenishness,noun
sapphire,adj
full-of-the-moon,noun
bareness,noun
flash,noun
crucifix,noun
rear,verb
comeliness,noun
bus topology,noun
maculate,verb
twill,noun
adorability,noun
open weave,noun
polychromise,verb
mocha,noun
lift,verb
Stars and Stripes,noun
solferino,noun
oriflamme,noun
configure,verb
royal purple,noun
rosy,adj
Venetian red,noun
preciosity,noun
layout,noun
tattletale gray,noun
sable,noun
vinaceous,adj
cast,noun
fingerprint,verb
colourise,verb
out-of-date,adj
nice,adj
dun,verb
old gold,noun
pale,verb
green,verb
plague spot,noun
florid,adj
poker face,noun
rosiness,noun
resplendency,noun
simulacrum,noun
outdated,adj
Calvary cross,noun
decorativeness,noun
dog's-tooth check,noun
nonsolid colour,noun
rise,verb
severeness,noun
resplendence,noun
taffeta weave,noun
alabaster,noun
cross,verb
colourize,verb
figure,noun
charm,verb
dark,adj
cerise,adj
finish,verb
freckle,noun
tan,noun
purpurate,verb
bloodstain,noun
eyesore,noun
glitter,verb
garishness,noun
unpleasingness,noun
houndstooth check,noun
greenish,adj
buff,noun
discolor,verb
stylishness,noun
tattoo,noun
snuff-colour,noun
alizarine red,noun
ultramarine,adj
image,noun
tincture,verb
crimson,adj
pinkify,verb
chartreuse,noun
burn,noun
amyloid protein plaque,noun
stripy,adj
macule,noun
splashy,adj
cherry,noun
lurid,adj
Lorraine cross,noun
milium,noun
American flag,noun
shine,verb
crack,noun
wan,adj
showiness,noun
brilliancy,noun
amber,noun
hound's-tooth check,noun
gray,adj
sepia,noun
configuration,noun
beautiful,adj
ordinary,noun
blackwash,verb
carnation,noun
salmon pink,noun
argyll,noun
henna,noun
stripe,noun
colouration,noun
amyloid plaque,noun
pinpoint,verb
engineer,noun
garish,adj
floridity,noun
lazuline,noun
violet,noun
iron-grey,adj
speckle,verb
tawniness,noun
white flag,noun
phase of the moon,noun
American plan,noun
blueprint,noun
face value,noun
iron-gray,adj
azure,adj
glisten,noun
scrape,verb
mellowness,noun
rich,adj
shapeliness,noun
sparkle,verb
blaze,noun
pilosity,noun
St. Andrew's cross,other
raw beauty,noun
imbue,verb
tinge,noun
straw,adj
ivory,noun
siren call,noun
Star-Spangled Banner,noun
chestnut,adj
magenta,noun
etiolation,noun
motive,noun
floridness,noun
shape,verb
unitisation,noun
mock sun,noun
mihrab,noun
discolouration,noun
vermilion,noun
orange yellow,noun
blotchy,adj
snare,noun
view,noun
last quarter,noun
sanguineous,adj
superficial,adj
scratch,verb
seem,verb
dark blue,noun
olive drab,noun
bleach,noun
crawl,verb
madder,noun
complexion,noun
swarthiness,noun
cross of Lorraine,noun
trend,noun
hirsuteness,noun
tone,verb
cobalt blue,noun
coffee,noun
mahogany,noun
beauteousness,noun
crisscross,verb
disfigure,verb
yellowish brown,noun
beautician,noun
skin colour,noun
dapple,verb
charge,verb
redesign,verb
papal cross,noun
iron blue,noun
Davy's gray,noun
lovely,adj
patch,verb
continental plan,noun
hulk,verb
nebular,adj
red,noun
iron mold,noun
topaz,noun
aspect,noun
speck,noun
pattern,verb
flashy,adj
mottling,noun
tricolour,noun
Vandyke brown,noun
color,noun
fleur-de-lis,noun
patchy,adj
loop topology,noun
tetraskelion,noun
cerulean,noun
cyan,adj
sleekness,noun
orange red,noun
primary subtractive colour for light,noun
azure,verb
colorize,verb
beam,verb
plain weave,noun
verruca acuminata,noun
dogs-tooth check,noun
livid,adj
glint,noun
gore,noun
bare,adj
primary colour,noun
reddish brown,noun
gouge,verb
olive-green,noun
duskiness,noun
pleasingness,noun
cerulean,adj
fussiness,noun
ruddle,verb
silver grey,noun
hemangioma simplex,noun
planning,noun
peachy,adj
brown,noun
bar sinister,noun
taupe,adj
scar,noun
designer,noun
hue,verb
format,verb
hairy,adj
mottle,verb
motif,noun
iron trap,noun
chevron,noun
great seal,noun
burnt sienna,noun
maroon,noun
embrown,verb
shapeless,adj
fret,verb
form,noun
ornateness,noun
pitch black,noun
blazonry,noun
resplend,verb
plain,adj
hideousness,noun
coat,verb
empurple,verb
black,adj
impression,noun
carmine,noun
perspective,noun
sporty,adj
Prussian blue,noun
twinkle,noun
banner,noun
inky,adj
screen saver,noun
chatter mark,noun
bar,noun
bearing,noun
nevus,noun
hazel,noun
daub,noun
rubber stamp,noun
purplish red,noun
whiteness,noun
glow,noun
picturesque,adj
grotesque,adj
appeal,verb
flag of truce,noun
shapely,adj
purple,adj
primary color,noun
stain,noun
leer,noun
worn spot,noun
voguish,adj
drab,noun
deep brown,noun
squint,verb
glaze,noun
pennoncel,noun
discolour,verb
spot,verb
pigment,noun
herringbone,noun
precious,adj
fleur-de-lys,noun
exquisiteness,noun
polychromize,verb
plantar wart,noun
minium,noun
yellow,verb
navy,noun
pretense,noun
gleam,verb
pennon,noun
discoloration,noun
spark,noun
physical topology,noun
glorify,verb
damascene,noun
ensign,noun
make up,verb
darkness,noun
verisimilitude,noun
visual aspect,noun
undertone,noun
common wart,noun
tinter,noun
orange,adj
mauve,adj
crucify,verb
picturesqueness,noun
European plan,noun
charcoal grey,noun
pompadour,verb
genital wart,noun
mar,verb
loop,noun
unattractiveness,noun
fingerprint,noun
steel gray,noun
elegance,noun
parti-color,verb
chip,verb
green,noun
yellowish pink,noun
hirsute,adj
superficies,noun
skin color,noun
tetraskele,noun
spiff,noun
aurify,verb
wine-colored,noun
camouflage,noun
gold,adj
smear,noun
swastika,noun
beguilement,noun
skull and crossbones,noun
wine,noun
